Year,Number,Ruolo Gen. Nr.,Oggetto,Giudice,Valore della causa,Stato del fascicolo,Data di Citazione 1° udienza,SENTENZA DEFINITIVA Nr.,Esito,Importo liquidato,Tipo,DECRETO INGIUNTIVO Nr.,SENTENZA NON DEFINITIVA Nr.,Rif. atto impugnato,Importo richiesto,Prossima udienza
1995,1,1/1995 iscritto al ruolo il 03/05/1995,OR - 101003 - Opposizione  di terzo ex artt. 404 e ss. c.p.c.,GALLO RICCARDO sezione: 1 aula: 2 -B11,"Euro 0,00",PROCEDIMENTO DEFINITO,27/06/1995,1/1995 pubblicata il 01/01/1995,Sentenza di merito/Accoglimento,"Euro 103,29",,,,,,
1995,2,2/1995 iscritto al  ruolo  il 03/05/1995,OR - 709999 - Altri  atti amministrativi,LANZILLO  LUCIANO  sezione: 1 aula: 2 - B13,"Euro 0,00",PROCEDIMENTO DEFINITO,7/7/1995,,,,,,,,,
1995,3,3/1995 iscritto al ruolo il 03/05/1995,OR - 709999 - Altri atti amministrativi,MURANTE  MICHELE  sezione: 1 aula: 2 - B12,"Euro 0,00",PROCEDIMENTO DEFINITO,28/06/1995,,,,,,,,,
1995,4,4/1995 iscritto al ruolo  il 09/05/1995,OR - 709999 - Altri atti amministrativi,PERRICONE  LUDOVICO sezione: 1 aula: -,"Euro 0,00",PROCEDIMENTO DEFINITO,26/06/1995,,,,,,,,,
1995,5,5/1995 iscritto al  ruolo il 10/05/1995,OR - 709999 - Altri atti amministrativi,PISANTI GENNARO sezione: 1 aula: PENALE,"Euro 0,00",PROCEDIMENTO DEFINITO,29/06/1995,,,,,,,,,
1995,6,6/1995 iscritto al ruolo il 10/05/1995,OR - 709999 - Altri  atti amministrativi,SILVESTRI VINCENZO sezione: 1 aula: 2 - B12,"Euro 0,00",PROCEDIMENTO DEFINITO,5/7/1995,,,,,,,,,
1995,7,7/1995  iscritto al ruolo il 10/05/1995,OR - 709999 - Altri atti  amministrativi,TASSONE RAFFAELE sezione: 1 aula: 2 - B12,"Euro  0,00",PROCEDIMENTO DEFINITO,4/7/1995,,,,,,,,,
1995,8,8/1995  iscritto al ruolo il 11/05/1995,OR - 709999 - Altri atti amministrativi,VITALE GIOVAMBATTISTA sezione: 1 aula: 2 - B17,"Euro 0,00",PROCEDIMENTO DEFINITO,26/06/1995,,,,,,,,,
1995,9,9/1995 iscritto  al ruolo il 11/05/1995,OR - 709999 - Altri atti amministrativi,PESATO ADRIANO sezione: 1 aula: 2 - B12,"Euro 0,00",PROCEDIMENTO  DEFINITO,5/7/1995,,,,,,,,,
1995,10,10/1995 iscritto  al ruolo il 11/05/1995,OR - 709999 - Altri atti amministrativi,PESATO ADRIANO sezione: 1 aula: 2 - B12,"Euro 0,00",PROCEDIMENTO DEFINITO,5/7/1995,,,,,,,,,
