Year,Number,Data evento,Evento,Sub. procedimento
1995,1,Dom 01/01/1995,Storico per Sentenze-Import,Sentenza (migrata)
1995,1,Mer 03/05/1995,,
1995,1,Gio 04/05/1995,,
1995,1,Ven 05/05/1995,Accoglimento Decreto Ingiuntivo 1/1995. Bonificata  data  evento al  05/05/1995,
1995,1,Mar 27/06/1995,Bonifica: Storico per  Sentenze-Import (INDE),
1995,1,Mar 27/06/1995,Bonifica: Storico per Sentenze-Import (DEPM),
1995,1,Ven 15/09/2000,Da Ricorso rigettato,
1995,1,Ven 15/09/2000,A Decreto ingiuntivo,
1995,2,Mer 03/05/1995,,
1995,2,Gio 04/05/1995,,
1995,2,Ven 05/05/1995,Accoglimento Decreto Ingiuntivo 2/1995.  Bonificata  data  evento  al 05/05/1995,
1995,3,Mer 03/05/1995,,
1995,3,Gio 04/05/1995,,
1995,3,Ven 05/05/1995,Accoglimento Decreto Ingiuntivo  3/1995. Bonificata data evento al  05/05/1995,
1995,4,Gio 04/05/1995,,
1995,4,Mar 09/05/1995,,
1995,4,Sab 27/04/1996,Accoglimento Decreto  Ingiuntivo 226/1995. Bonificata data evento al 27/04/1996,
1995,5,Ven 05/05/1995,,
1995,5,Mer 10/05/1995,,
1995,5,Sab 27/04/1996,Accoglimento Decreto Ingiuntivo 128/1995.  Bonificata  data evento  al 27/04/1996,
1995,6,Ven 05/05/1995,,
1995,6,Lun 08/05/1995,Accoglimento Decreto Ingiuntivo 4/1995.  Bonificata data evento al  08/05/1995,
1995,6,Mer 10/05/1995,,
1995,7,Lun 08/05/1995,,
1995,7,Mer 10/05/1995,,
1995,7,Sab 27/04/1996,Accoglimento Decreto Ingiuntivo 129/1995. Bonificata data evento al 27/04/1996,
1995,8,Lun 08/05/1995,,
1995,8,Mar 09/05/1995,Accoglimento Decreto Ingiuntivo 5/1995. Bonificata  data evento  al 09/05/1995,
1995,8,Gio 11/05/1995,,
1995,9,Lun 08/05/1995,,
1995,9,Mar 09/05/1995,Accoglimento Decreto Ingiuntivo 6/1995. Bonificata data evento al 09/05/1995,
1995,9,Gio 11/05/1995,,
1995,10,Lun 08/05/1995,,
1995,10,Mar 09/05/1995,Accoglimento Decreto Ingiuntivo 7/1995. Bonificata data  evento al 09/05/1995,
1995,10,Gio 11/05/1995,,
1995,11,Lun 08/05/1995,,
1995,11,Mar 09/05/1995,Accoglimento Decreto  Ingiuntivo 8/1995. Bonificata data evento  al  09/05/1995,
1995,11,Gio 11/05/1995,,
1995,11,Lun 06/03/2006,Mega  Giuseppe-Comune Di  Torino,
1995,12,Lun 08/05/1995,,
1995,12,Mar 09/05/1995,Accoglimento  Decreto  Ingiuntivo 9/1995. Bonificata  data  evento al 09/05/1995,
1995,12,Ven 12/05/1995,,
1995,13,Lun 08/05/1995,,
1995,13,Mar 09/05/1995,Accoglimento  Decreto  Ingiuntivo  10/1995. Bonificata data evento al 09/05/1995,
1995,13,Ven 12/05/1995,,
1995,14,Lun 08/05/1995,,
1995,14,Mar 09/05/1995,Accoglimento Decreto  Ingiuntivo 11/1995. Bonificata data evento al 09/05/1995,
1995,14,Mer 17/05/1995,,
1995,15,Lun 08/05/1995,,
1995,15,Mar 09/05/1995,Accoglimento Decreto  Ingiuntivo 12/1995.  Bonificata  data evento al 09/05/1995,
1995,15,Gio 18/05/1995,,
1995,16,Lun 08/05/1995,,
1995,16,Mar 09/05/1995,Accoglimento Decreto Ingiuntivo 13/1995. Bonificata  data evento al  09/05/1995,
1995,16,Gio 18/05/1995,,
1995,17,Lun 08/05/1995,,
1995,17,Mar 09/05/1995,Accoglimento Decreto Ingiuntivo  14/1995. Bonificata data evento al  09/05/1995,
1995,17,Gio 18/05/1995,,
1995,18,Lun 08/05/1995,,
1995,18,Mar 09/05/1995,Accoglimento Decreto Ingiuntivo 15/1995. Bonificata data evento  al 09/05/1995,
1995,18,Ven 19/05/1995,,
1995,19,Lun 08/05/1995,,
1995,19,Mar 09/05/1995,Accoglimento Decreto Ingiuntivo 16/1995. Bonificata  data  evento  al 09/05/1995,
1995,19,Ven 19/05/1995,,
1995,20,Lun 08/05/1995,,
1995,20,Mar 09/05/1995,Accoglimento  Decreto  Ingiuntivo 17/1995. Bonificata data evento al  09/05/1995,
1995,20,Ven 19/05/1995,,
1995,21,Lun 08/05/1995,,
1995,21,Mar 09/05/1995,Accoglimento Decreto Ingiuntivo  18/1995. Bonificata data evento  al  09/05/1995,
1995,21,Sab 20/05/1995,,
1995,22,Lun 08/05/1995,,
1995,22,Mar 09/05/1995,Accoglimento  Decreto Ingiuntivo 19/1995. Bonificata data evento al 09/05/1995,
1995,22,Sab 20/05/1995,,
1995,23,Lun 08/05/1995,,
1995,23,Mar 09/05/1995,Accoglimento Decreto Ingiuntivo 20/1995. Bonificata data  evento  al 09/05/1995,
1995,23,Sab 20/05/1995,,
1995,24,Lun 08/05/1995,,
1995,24,Mar 09/05/1995,Accoglimento Decreto Ingiuntivo 21/1995. Bonificata data evento al  09/05/1995,
1995,24,Sab 20/05/1995,,
1995,25,Lun 08/05/1995,,
1995,25,Mar 09/05/1995,Accoglimento Decreto Ingiuntivo 22/1995.  Bonificata data  evento al 09/05/1995,
1995,25,Lun 22/05/1995,,
1995,26,Lun 08/05/1995,,
1995,26,Mar 09/05/1995,Accoglimento Decreto Ingiuntivo  23/1995. Bonificata  data evento al  09/05/1995,
1995,26,Lun 22/05/1995,,
1995,27,Lun 08/05/1995,,
1995,27,Mar 09/05/1995,Accoglimento  Decreto Ingiuntivo  24/1995. Bonificata data evento al 09/05/1995,
1995,27,Lun 22/05/1995,,
1995,28,Lun 08/05/1995,,
1995,28,Mar 09/05/1995,Accoglimento Decreto  Ingiuntivo 25/1995. Bonificata data evento al  09/05/1995,
1995,28,Mar 23/05/1995,,
1995,28,Ven 21/07/1995,Bonifica: Storico per Sentenze-Import  (INDE),
1995,28,Lun 24/07/1995,Storico per Sentenze-Import,Sentenza (migrata)
1995,28,Lun 24/07/1995,Bonifica: Storico  per Sentenze-Import (DEPM),
1995,29,Lun 08/05/1995,,
1995,29,Mar 09/05/1995,Accoglimento Decreto Ingiuntivo 26/1995.  Bonificata data evento al 09/05/1995,
1995,29,Mar 23/05/1995,,
1995,30,Lun 08/05/1995,,
1995,30,Mar 09/05/1995,Accoglimento Decreto  Ingiuntivo 27/1995. Bonificata data evento al 09/05/1995,
1995,30,Mar 23/05/1995,,
1995,31,Lun 08/05/1995,,
1995,31,Mar 09/05/1995,Accoglimento Decreto Ingiuntivo 28/1995. Bonificata data  evento  al 09/05/1995,
1995,31,Mer 24/05/1995,,
1995,32,Lun 08/05/1995,,
1995,32,Mar 09/05/1995,Accoglimento  Decreto Ingiuntivo 29/1995.  Bonificata data  evento al  09/05/1995,
1995,32,Mer 24/05/1995,,
1995,32,Mar 04/07/1995,ATTO Decreto Ingiuntivo INVIATO ALL'AGENZIA DELLE  ENTRATE  REP. NUM. 65/2095,
1995,32,Mer 05/07/1995,ATTO REP. NUM. 65/2095  RITORNATO DALL'AGENZIA DELLE ENTRATE,
1995,33,Lun 08/05/1995,,
1995,33,Gio 25/05/1995,,
1995,33,Gio 14/03/1996,Accoglimento  Decreto Ingiuntivo 432/1995. Bonificata data evento  al  14/03/1996,
1995,34,Lun 08/05/1995,,
1995,34,Gio 25/05/1995,,
1995,34,Mar 28/11/1995,Accoglimento Decreto Ingiuntivo 433/1995. Bonificata data evento  al 28/11/1995,
1995,35,Lun 08/05/1995,,
1995,35,Gio 25/05/1995,,
1995,35,Mar 28/11/1995,Accoglimento  Decreto  Ingiuntivo 434/1995. Bonificata data evento al 28/11/1995,
1995,36,Mar 09/05/1995,,
1995,36,Mer 10/05/1995,Accoglimento Decreto  Ingiuntivo 30/1995.  Bonificata  data evento al 10/05/1995,
1995,36,Gio 25/05/1995,,
1995,37,Mar 09/05/1995,,
1995,37,Ven 26/05/1995,,
1995,37,Mar 28/11/1995,Accoglimento Decreto Ingiuntivo 279/1995. Bonificata data evento al 28/11/1995,
1995,38,Mar 09/05/1995,,
1995,38,Mer 10/05/1995,Accoglimento  Decreto Ingiuntivo 31/1995.  Bonificata  data evento al  10/05/1995,
1995,38,Ven 26/05/1995,,
1995,39,Mar 09/05/1995,,
1995,39,Mer 10/05/1995,Accoglimento Decreto Ingiuntivo  32/1995.  Bonificata  data  evento  al 10/05/1995,
1995,39,Ven 26/05/1995,,
1995,40,Mar 09/05/1995,,
1995,40,Ven 26/05/1995,,
1995,40,Mar 28/11/1995,Accoglimento Decreto Ingiuntivo  389/1995. Bonificata  data  evento al 28/11/1995,
1995,41,Mar 09/05/1995,,
1995,41,Mer 10/05/1995,Accoglimento Decreto Ingiuntivo 33/1995. Bonificata  data evento al  10/05/1995,
1995,41,Ven 26/05/1995,,
1995,42,Mar 09/05/1995,,
1995,42,Mer 10/05/1995,Accoglimento Decreto Ingiuntivo 34/1995.  Bonificata data  evento al  10/05/1995,
1995,42,Ven 26/05/1995,,
1995,43,Mar 09/05/1995,,
1995,43,Mer 10/05/1995,Accoglimento Decreto  Ingiuntivo 35/1995. Bonificata data  evento  al 10/05/1995,
1995,43,Ven 26/05/1995,,
1995,44,Mar 09/05/1995,,
1995,44,Lun 15/05/1995,Accoglimento Decreto  Ingiuntivo  43/1995. Bonificata data evento al 15/05/1995,
1995,44,Lun 29/05/1995,,
1995,45,Mar 09/05/1995,,
1995,45,Gio 11/05/1995,Accoglimento Decreto  Ingiuntivo 36/1995. Bonificata data evento al 11/05/1995,
1995,45,Lun 29/05/1995,,
1995,45,Mer 27/12/1995,Bonifica: Storico per Sentenze-Import  (INDE),
1995,45,Mer 10/01/1996,Bonifica:  Storico per Sentenze-Import  (DEPM),
1995,45,Lun 15/01/1996,Storico per  Sentenze-Import,Sentenza (migrata)
1995,46,Mar 09/05/1995,,
1995,46,Gio 11/05/1995,Accoglimento Decreto  Ingiuntivo 37/1995.  Bonificata data evento al 11/05/1995,
1995,46,Mar 30/05/1995,,
1995,47,Mar 09/05/1995,,
1995,47,Gio 11/05/1995,Accoglimento Decreto Ingiuntivo 38/1995. Bonificata data  evento  al 11/05/1995,
1995,47,Mar 30/05/1995,,
1995,47,Sab 08/07/1995,ATTO  Decreto  Ingiuntivo INVIATO ALL'AGENZIA DELLE ENTRATE REP. NUM. 79/2095,
1995,47,Mer 19/07/1995,ATTO REP. NUM. 79/2095 RITORNATO DALL'AGENZIA DELLE ENTRATE,
1995,48,Mar 09/05/1995,,
1995,48,Gio 11/05/1995,Accoglimento Decreto  Ingiuntivo 39/1995. Bonificata data  evento  al 11/05/1995,
1995,48,Gio 01/06/1995,,
1995,48,Mar 05/09/1995,ATTO Decreto Ingiuntivo INVIATO ALL'AGENZIA  DELLE  ENTRATE  REP.  NUM. 304/2095,
1995,48,Mer 06/09/1995,ATTO REP. NUM. 304/2095 RITORNATO  DALL'AGENZIA DELLE ENTRATE,
1995,49,Mar 09/05/1995,,
